	statement	allTypeStatement	declaration	primaryType	identifier_list	assignment	assignment_list	assignment_type	onlyIfChoice	ifElseIfChoice	ifElseChoice	block	multiStatement	basicDeclaration	program	multiDeclaration	structDeclaration	primaryStructDeclaration	valueStructDeclaration	primaryFunctionDeclaration	valueFunctionDeclaration	declaration_list	program	multiFunction	exp
0			218	568										566	1	2	567	761	763	220	217				
1																									
2			3	8										5			6	75	77	7					
3																									
4																									
5																									
6																									
7																									
8					9	72																			
9																									
10																									
11				15																		12			
12																									
13																									
14																									
15																									
16				19																		17			
17																									
18																									
19																									
20				19																		21			
21																									
22																									
23																									
24																									
25																									
26				19																		27			
27																									
28																									
29																									
30																									
31																									
32																									
33																									
34																									
35																									
36																									
37																									
38																									
39																									
40																									
41																									
42																									
43																									
44				15																		45			
45																									
46																									
47																									
48																									
49																									
50																									
51																									
52																									
53																									
54																									
55																									
56																									
57																									
58																									
59					60	72																			
60																									
61																									
62																									
63						64																			
64																									
65																									
66						67																			
67																									
68						69																			
69																									
70						71																			
71																									
72																									
73					74	72																			
74																									
75					76	72																			
76																									
77																									
78																									
79																									
80				15																		81			
81																									
82																									
83																									
84																									
85																									
86				15																		87			
87																									
88																									
89																									
90			196	98										95		91	96	165	167	97					
91			93	98										95			96	165	167	97					
92																									
93																									
94																									
95																									
96																									
97																									
98					99	162																			
99																									
100																									
101				105																		102			
102																									
103																									
104																									
105																									
106				109																		107			
107																									
108																									
109																									
110				109																		111			
111																									
112																									
113																									
114																									
115																									
116				109																		117			
117																									
118																									
119																									
120																									
121																									
122																									
123																									
124																									
125																									
126																									
127																									
128																									
129																									
130																									
131																									
132																									
133																									
134				105																		135			
135																									
136																									
137																									
138																									
139																									
140																									
141																									
142																									
143																									
144																									
145																									
146																									
147																									
148																									
149					150	162																			
150																									
151																									
152																									
153						154																			
154																									
155																									
156						157																			
157																									
158						159																			
159																									
160						161																			
161																									
162																									
163					164	162																			
164																									
165					166	162																			
166																									
167																									
168																									
169																									
170				105																		171			
171																									
172																									
173																									
174																									
175																									
176				105																		177			
177																									
178																									
179																									
180			196	98										95		181	96	165	167	97					
181			93	98										95			96	165	167	97					
182																									
183																									
184																									
185																									
186																									
187																									
188																									
189																									
190																									
191																									
192																									
193																									
194																									
195																									
196																									
197																									
198			196	98										95		199	96	165	167	97					
199			93	98										95			96	165	167	97					
200																									
201			196	98										95		202	96	165	167	97					
202			93	98										95			96	165	167	97					
203																									
204																									
205																									
206																									
207																									
208																									
209																									
210																									
211																									
212																									
213																									
214																									
215																									
216																									
217																									
218																									
219																									
220																									
221	224		242	461		243			229	240	241		222	448			449	528	530	450					227
222																									
223																									
224	224		242	461		243			229	240	241		225	448			449	528	530	450					227
225																									
226																									
227																									
228																									
229																									
230	234		242	461		243			233	231	241	232		448			449	528	530	450					227
231																									
232																									
233																									
234																									
235	238		242	461		243			229	240	241		236	448			449	528	530	450					227
236																									
237																									
